"func1"	"func2"	"func3"
"1"	1.05	0.83	0.72
"2"	0.86	0.8	0.72
"3"	1.09	0.69	0.69
"4"	0.87	0.77	0.95
"5"	0.9	0.76	0.7
"6"	1.04	0.78	0.68
"7"	0.68	0.76	0.72
"8"	1.04	0.7	0.72
"9"	1.1	0.82	0.75
"10"	1.12	0.8	0.7
"11"	0.9	0.76	0.86
"12"	0.88	0.79	0.75
"13"	0.99	0.77	0.71
"14"	1.08	0.86	0.71
"15"	0.95	0.83	0.7
"16"	1.04	0.76	0.9
"17"	1.08	0.8	0.74
"18"	0.81	0.79	0.69
"19"	0.84	0.72	0.68
"20"	1	0.79	0.79
"21"	0.97	0.8	0.7
"22"	0.97	0.8	0.95
"23"	0.99	0.79	0.77
"24"	0.88	0.83	0.72
"25"	1.11	0.8	0.79
"26"	1.05	0.78	0.71
"27"	1.02	0.84	0.73
"28"	0.91	0.83	0.69
"29"	1.19	0.81	0.86
"30"	0.96	0.82	0.73
"31"	0.92	0.74	0.89
"32"	0.81	0.78	1.03
"33"	0.86	0.83	0.74
"34"	0.95	0.77	0.84
"35"	0.93	0.7	0.78
"36"	0.87	0.86	0.71
"37"	1.01	0.79	0.74
"38"	1.13	0.76	0.9
"39"	0.93	0.74	0.81
"40"	0.87	0.77	0.72
"41"	0.91	0.73	0.72
"42"	0.95	0.82	0.78
"43"	1.18	0.68	0.76
"44"	1.09	0.73	0.68
"45"	0.86	0.87	0.71
"46"	0.99	0.82	0.68
"47"	1.08	0.88	0.83
"48"	1.04	0.68	0.68
"49"	1.11	0.8	0.68
"50"	0.86	0.83	0.85
"51"	1.05	1.11	1.21
"52"	0.94	1.02	0.7
"53"	1.15	1.15	0.69
"54"	0.8	1.17	0.8
"55"	0.89	1.11	0.82
"56"	0.85	1.04	0.7
"57"	1.09	1.08	0.82
"58"	1	1.11	0.7
"59"	1.1	1.08	0.73
"60"	0.96	1.19	0.7
"61"	0.96	1.17	0.68
"62"	1.02	1.1	0.68
"63"	1.02	1.11	0.68
"64"	1	1.1	0.73
"65"	1.08	1.14	1.01
"66"	0.95	1.1	0.71
"67"	0.96	1.11	0.71
"68"	0.99	1.19	0.81
"69"	0.95	1.06	0.68
"70"	0.95	1.05	0.8
"71"	1.02	1.06	1.09
"72"	0.9	1.15	0.74
"73"	0.92	1.18	0.79
"74"	1.11	1.09	0.94
"75"	0.88	1.06	0.69
"76"	1.19	1.13	0.75
"77"	0.99	1.15	0.73
"78"	1.02	1.14	0.69
"79"	1.06	1.12	0.85
"80"	1.21	1.11	0.68
"81"	1.05	1.01	0.84
"82"	0.89	1.12	0.68
"83"	1.14	1.06	0.8
"84"	0.86	1.04	0.69
"85"	0.86	1.01	0.9
"86"	1.16	1.15	0.87
"87"	1.1	1.12	0.81
"88"	0.97	1.09	0.7
"89"	1.02	1.15	0.73
"90"	1.01	1.07	0.75
"91"	0.98	1.09	0.7
"92"	0.87	1.09	0.82
"93"	0.88	1.06	0.72
"94"	0.98	1.05	0.79
"95"	1.06	1.06	0.73
"96"	1	1.12	1.07
"97"	1.16	1.04	0.69
"98"	0.99	1.22	0.73
"99"	0.97	1.09	0.8
"100"	1	1.18	1.1
